run_id,experiment_id,status,metrics.test_loss,metrics.train_loss,params.hydrocarbons,params.subgraph_depth,params.collective,params.funnel,params.dataset,params.cycle_size,params.paths,params.relaxations,params.oxy,params.nitro,params.y_shape,params.parameter_size,params.model,params.cycles,params.max_depth,params.num_layers,params.learning_rate,params.sulfuric,params.architecture,params.circular,params.nbhoods,params.chem_rules,params.subgraphs
6d25b1b5145745a597af474f52599c9f,2185254781789756,FINISHED,0.14367816091954022,0.059573851927455235,False,4,True,False,human_intestinal_absorption,10,True,True,True,True,False,2,gnn,False,1,3,0.002817007297893805,False,CCD,True,False,,
3f677abc61c44a749563a3c1578c8a5a,2185254781789756,FINISHED,0.27049180327868855,0.1279330670977614,True,1,True,False,skin_reaction,9,True,False,False,False,True,4,gnn,False,1,3,0.0012820245116960543,True,CCE,True,True,,
5cfecdbeacd54dbeb57965d1b3fa1aea,2185254781789756,FINISHED,0.3524590163934426,0.20047620916934716,False,8,True,False,skin_reaction,5,True,False,True,False,False,1,gnn,True,1,1,0.0029697837771745627,False,CCD,False,False,,
00a67062cf8947c78904254facb86c55,2185254781789756,FINISHED,0.39344262295081966,0.1840871137505656,True,1,False,False,skin_reaction,8,False,False,False,False,False,3,gnn,True,1,1,0.0003180461641084215,True,CCE,True,True,,
363ceae8e46e42acaebbc18bee32475d,2185254781789756,FINISHED,0.2604166666666667,0.2192724884577215,False,1,True,False,oral_bioavailability,8,True,False,False,False,False,4,gnn,False,1,2,0.09092136229841297,True,CCE,True,False,,
f47aa11027b1463cb4f8662370de8a8c,2185254781789756,FINISHED,0.3770491803278688,0.1580670322874259,True,2,False,False,skin_reaction,8,True,False,True,False,False,3,gnn,True,1,1,0.00421034429979937,False,CCD,True,True,,
abdbc906eb0a4cb9a8ea68d49ab4ebc5,2185254781789756,FINISHED,0.30327868852459017,0.1362445839792223,True,1,False,False,skin_reaction,9,False,False,False,False,False,4,gnn,True,1,3,0.0005359299709713864,True,CCE,True,True,,
78a1ecb62b9547d9bf28e89e52aed07a,2185254781789756,FINISHED,0.10344827586206896,0.08381527254283981,False,3,True,False,human_intestinal_absorption,8,True,False,False,True,True,4,gnn,True,1,3,0.00013699424440176685,True,CCE,True,False,,
ff8e47e4bad143ed957ebda6972aa2d9,2185254781789756,FINISHED,0.2552083333333333,0.14220782890839495,True,8,True,False,oral_bioavailability,10,False,False,False,True,False,2,gnn,False,1,3,0.0037917789606180734,False,CCD,False,True,,
17585fe541794883af52b09877b6edbc,2185254781789756,FINISHED,0.38524590163934425,0.15152061730909772,True,2,False,False,skin_reaction,5,False,True,False,False,False,3,gnn,True,1,3,0.004036482467689858,False,CCE,True,True,,
b32fb7b12ff74296a8d5f8e2798a6643,2185254781789756,FINISHED,0.4098360655737705,0.15583874813775045,True,2,False,False,skin_reaction,8,False,False,True,False,False,3,gnn,True,1,4,0.0016168130915827023,True,CCE,True,False,,
23f5847a8463404ebe598189936b4063,2185254781789756,FINISHED,0.319672131147541,0.15691706192567823,True,7,False,False,skin_reaction,10,True,False,True,False,False,3,gnn,True,1,4,0.0015942595420635123,False,CCD,True,True,,
1e644ca833a54a209c28d88ea8b1956e,2185254781789756,FINISHED,0.36065573770491804,0.17224968559141057,True,5,False,False,skin_reaction,7,False,False,False,False,False,3,gnn,True,1,4,0.0010407431427777046,True,CCE,False,True,,
b945417b2d32464b809df505a577d9ab,2185254781789756,FINISHED,0.265625,0.16064997572957881,True,3,False,False,oral_bioavailability,4,True,False,True,False,False,4,gnn,False,1,1,0.004495140527599474,True,CCE,False,False,,
945d3ce6797f4cb9ae2c3ae916ba1fc6,2185254781789756,FINISHED,0.08620689655172414,0.05556551142805117,False,7,True,False,human_intestinal_absorption,9,True,True,True,True,False,3,gnn,False,1,2,0.0010594969336747357,False,CCD,True,False,,
6ac2ae977231479b92318bc08e06a273,2185254781789756,FINISHED,0.28688524590163933,0.13486967520764792,True,1,False,False,skin_reaction,8,False,False,False,False,False,3,gnn,True,1,4,0.001053855371579112,True,CCE,True,True,,
